paper_id,doi,oa_id,first_author,year,citations,region,mission,win_start,win_end,n_months,source,exclude,exclude_reason,window_basis,confidence,quote,quote_verified,quote_page,llm_start,llm_end,curated_note,model,extract_error,notes
164,10.1029/2019jb018892,W3109950241,Qiujie Chen,2020,42,igp,GRACE,2002-04,2016-12,177,llm,False,,explicit-months,high,"a time series of high-resolution (degree 180) spherical harmonic solutions named Tongji-RegGrace2019, which can be directly used without further smoothing.",True,1,2002-04,2016-12,,deepseek-chat,,The paper explicitly states the period 'April 2002 to December 2016' for the Tongji-RegGrace2019 solutions.
166,10.1016/j.gsd.2019.100307,W2990225380,R. S. Chatterjee,2019,39,igp,GRACE,2005-06,2012-10,89,llm,False,,explicit-months,high,GRACE gravity anomaly based 1° × 1° grid data of monthly terrestrial water storage (TWS) change during the monsoonal months of 2005–2012 was used to derive average monsoonal groundwater storage (GWS) change.,False,,2005-06,2012-10,,deepseek-chat,,"The paper states the GRACE data period as monsoonal months of 2005–2012, but the exact months are June–October as specified elsewhere."
170,10.1029/2018jf004943,W2997590863,Ajish P. Saji,2020,36,igp,GRACE,2004-01,2015-01,133,llm,False,,explicit-months,high,"Figure 2 represents the spatial secular variation trend of mass change (EWH) estimated from the spherical harmonic coefficients of GRACE data over the study area corresponding to January 2004 to January 2015 (excluding a total 5 months; that is, January 2011, October 2012, and March, August, and September 2013, where data were not available).",True,4,2004-01,2015-01,,deepseek-chat,,"The paper explicitly states the GRACE data period as January 2004 to January 2015 for the EWH trend map, which is the main storage result."
177,10.1016/j.ejrh.2020.100681,W3016970809,Hua Xie,2020,31,igp,GRACE,2002-07,2011-06,108,llm,False,,explicit-months,high,"we compared the GRACE-based and SWAT-simulated TWS variations during 306 10-day intervals between July 29, 2002 and June 2, 2011",True,7,2002-07,2011-06,,deepseek-chat,,The paper explicitly states the start and end dates of the GRACE data used for model comparison.
181,10.1016/j.pepi.2014.03.002,W1978242902,V. M. Tiwari,2014,27,igp,GRACE,2002-04,2012-12,129,llm,False,,inferred,medium,GRACE mission is providing time variable gravity field with unprecedented precision and resolution since March 2002,True,2,2002-04,2012-12,,deepseek-chat,,"The paper states GRACE data availability from March 2002, and the trend map (Fig. 1a) covers 2002-2012, but the exact end month is not specified."
185,10.1007/s40899-017-0109-4,W2597890811,Param K. Gautam,2017,22,igp,GRACE,2003-01,2012-12,120,llm,False,,explicit-years,high,10 years of GRACE gravity data from the period 2003 to 2012,True,2,2003-01,2012-12,,deepseek-chat,,"The paper repeatedly states the period as 2003-2012, with no finer month resolution."
186,10.1007/s11069-011-9793-9,W1982437933,Natthachet Tangdamrongsub,2011,21,igp,GRACE,2002-04,2009-07,88,llm,False,,explicit-months,high,"the monthly gravity fields of GRACE from Center for Space Research (CSR), University of Texas at Austin, over the period of April 2002–July 2009",False,,2002-04,2009-07,,deepseek-chat,,
201,10.1016/j.rsase.2021.100685,W4206902147,Saurabh Srivastava,2022,11,igp,GRACE,2003-01,2014-12,144,llm,False,,explicit-months,high,"GRACE mission data (level 3, release 5 i.e. RL05, time span Jan-2003 to Dec-2014)",True,4,2003-01,2014-12,,deepseek-chat,,The paper explicitly states the GRACE data period as Jan-2003 to Dec-2014 in Section 3.1.
207,10.5194/hess-26-4515-2022,W4295242112,Vasaw Tripathi,2022,8,igp,GRACE+GRACE-FO,2002-04,2016-12,177,llm,False,,explicit-months,high,147 monthly solutions from April 2002 to December 2016,True,17,2002-04,2016-12,,deepseek-chat,,The paper states the GRACE data period explicitly as April 2002 to December 2016.
233,10.1109/icassp39728.2021.9413591,W3093683794,Yahya Sattar,2021,0,igp,GRACE,2005-01,2015-12,132,llm,False,,explicit-years,high,We estimate the variations in GWS in the Indus river basin (IRB) by processing the GRACE data from 2005 to 2015.,True,2,2005-01,2015-12,,deepseek-chat,,"The paper states 'from 2005 to 2015' without specifying months, so start month is set to January and end month to December."
241,10.1016/j.gloplacha.2014.02.007,W1981130750,Jianli Chen,2014,270,indus,GRACE,2003-01,2012-12,120,llm,False,,explicit-months,high,The GRACE gravity solutions used in this study cover a 10 year period from January 2003 to December 2012.,True,2,2003-01,2012-12,,deepseek-chat,,
242,10.1016/j.epsl.2016.06.002,W2426956916,Longwei Xiang,2016,189,indus,GRACE,2003-01,2009-12,84,llm,False,,explicit-months,high,The surveyed period in this study ranges from January 2003 to December 2009,True,2,2003-01,2009-12,,deepseek-chat,,The paper explicitly states the GRACE data period in the introduction.
243,10.1002/2015wr017797,W2260509705,D. K. Panda,2015,164,indus,GRACE,2003-01,2014-05,137,llm,False,,explicit-months,high,We use 129 monthly gravity solutions from NASA's Gravity Recovery and Climate Experiment (GRACE) satellites for the period of January 2003 to May 2014,False,,2003-01,2014-05,,deepseek-chat,,
247,10.3390/rs15040873,W4319298550,Shoaib Ali,2023,113,indus,GRACE,2003-01,2016-12,168,llm,False,,explicit-months,high,The data were collected from January 2003 to December 2016,True,6,2003-01,2016-12,,deepseek-chat,,The paper explicitly states the GRACE data period in Section 2.2.
248,10.1016/j.scitotenv.2022.156044,W4280509258,Arfan Arshad,2022,90,indus,GRACE+GRACE-FO,2002-04,2019-12,213,llm,False,,explicit-years,high,We used monthly GRACE-based TWS of spherical harmonic solution (JPL-SH) available at 1° × 1° resolution from 2002 to 2019,True,4,2002-04,2019-12,,deepseek-chat,,"The paper states 'from 2002 to 2019' for GRACE data, which is interpreted as full years."
251,10.1109/jstars.2016.2574378,W2474384442,Naveed Iqbal,2016,65,indus,GRACE,2003-01,2010-12,96,llm,False,,explicit-years,high,The GRACE monthly gravity anomalies from 2003 to 2010 were analyzed as total water storage (TWS) variations.,True,1,2003-01,2010-12,,deepseek-chat,,"The paper states '2003 to 2010' for GRACE data; months not specified, so start and end are set to January and December respectively."
254,10.1007/s10661-017-5846-1,W2594358888,Naveed Iqbal,2017,51,indus,GRACE,2003-01,2010-12,96,llm,False,,explicit-years,high,The Gravity Recovery and Climate Experiment Satellite (GRACE)-based gravity anomalies from 2003 to 2010 were processed to generate monthly groundwater storage changes,True,1,2003-01,2010-12,,deepseek-chat,,"The paper states 'from 2003 to 2010' for GRACE data processing; start month assumed January, end month December."
259,10.1109/access.2020.2984794,W3014180464,Dostdar Hussain,2020,28,indus,GRACE,2003-01,2016-12,168,llm,False,,explicit-months,high,"In this study, two GRACE solutions, namely, spherical harmonics (SH) and mascon (MSC), are utilized with the Global Land Data Assimilation System (GLDAS) model to estimate the spatial and temporal variations of TWS in the Upper Indus Basin (UIB) for the study period of January 2003 to December 2016.",True,1,2003-01,2016-12,,deepseek-chat,,
260,10.3390/su13179686,W3196848396,Gulraiz Akhter,2021,26,indus,GRACE,2016-01,2016-07,7,llm,False,,explicit-months,high,"The GRACE-based gravity anomaly data of Centre for Space Research (CSR), The University of Texas at Austin-USA RL05 data product from January 2016 to July 2016, is used in this study",True,5,2016-01,2016-07,,deepseek-chat,,The paper explicitly states the GRACE data period as January 2016 to July 2016.
267,10.5194/hess-26-4515-2022,W4295242112,Vasaw Tripathi,2022,8,indus,GRACE+GRACE-FO,2002-04,2016-12,177,llm,False,,explicit-months,high,147 monthly solutions from April 2002 to December 2016,True,17,2002-04,2016-12,,deepseek-chat,,The paper states the GRACE data period explicitly as April 2002 to December 2016.
269,10.3390/rs15184469,W4386639387,Lilu Cui,2023,6,indus,GRACE+GRACE-FO,2003-01,2021-12,228,llm,False,,explicit-years,high,"To obtain monthly TWSC gridded data between 2003 and 2021 at a spatial resolution 1°× 1°, we used the three GRACE/GRACE-FO RL06 spherical harmonic (SH) solutions.",False,,2003-01,2021-12,,deepseek-chat,,"The paper states 'between 2003 and 2021' for GRACE/GRACE-FO data, and uses Swarm to fill the gap, but the headline ET result uses the combined GRACE/Swarm series from 2003 to 2021."
279,10.1109/icassp39728.2021.9413591,W3093683794,Yahya Sattar,2021,0,indus,GRACE,2005-01,2015-12,132,llm,False,,explicit-years,high,We estimate the variations in GWS in the Indus river basin (IRB) by processing the GRACE data from 2005 to 2015.,True,2,2005-01,2015-12,,deepseek-chat,,"The paper states 'from 2005 to 2015' without specifying months, so start month is set to January and end month to December."
291,10.1007/s10040-006-0103-7,W1990716986,Matthew Rodell,2006,699,mississippi,GRACE,2002-04,2004-07,28,llm,False,,explicit-months,high,"terrestrial water storage anomalies were estimated from the first 22 near-monthly (13–31 day) GRACE gravity solutions, covering the period April 2002 to July 2004.",True,4,2002-04,2004-07,,deepseek-chat,,
292,10.1175/2007jhm951.1,W1970438763,Benjamin F. Zaitchik,2008,489,mississippi,GRACE,2003-01,2006-05,41,llm,False,,explicit-months,high,we used an average of available estimates to provide monthly assimilation inputs from January 2003 to May 2006.,True,3,2003-01,2006-05,,deepseek-chat,,The paper explicitly states the GRACE data period used for assimilation.
294,10.1029/2005gl024851,W2139207699,T. H. Syed,2005,209,mississippi,GRACE,2002-09,2004-07,23,llm,False,,explicit-months,high,"In this study, only consecutive months of GRACE data were used (18 total), including Sept., Oct., Nov. 2002; Mar., Apr., May, Aug., Sept., Oct., Nov., Dec. 2003; and Jan., Feb., Mar., Apr., May, Jun., Jul. 2004.",True,3,2002-09,2004-07,,deepseek-chat,,"The paper explicitly lists the months used, which are not fully consecutive but span from September 2002 to July 2004."
297,10.5194/hess-14-59-2010,W2040142713,Susanna Werth,2010,118,mississippi,GRACE,2003-01,2007-12,60,llm,False,,explicit-months,high,Five years (January 2003–December 2007) of satellite-based estimates of the total water storage changes from the GRACE mission were combined with river discharge data in a multi-objective calibration framework,False,,2003-01,2007-12,,deepseek-chat,,The calibration period is explicitly stated as January 2003–December 2007; validation uses January 2008–December 2008.
300,10.1038/s41598-020-75710-5,W3097750640,Mehdi Khaki,2020,66,mississippi,GRACE,2003-01,2016-12,168,llm,False,,explicit-years,high,Post-processing steps are done following Khaki et al.69 and Khaki and Awange70 to calculate TWS changes between 2003 and 2016.,False,,2003-01,2016-12,,deepseek-chat,,"The paper states the GRACE data period as 2003-2016, used for TWS changes."
302,10.1029/2018jb016596,W2945995916,Qiujie Chen,2019,45,mississippi,GRACE,2002-04,2016-08,173,llm,False,,explicit-months,high,a new time series of GRACE monthly solutions called Tongji‐Grace2018 (with maximum degree and order of both 60 and 96) for the period April 2002 to August 2016 are developed by Tongji University.,True,3,2002-04,2016-08,,deepseek-chat,,
306,10.1007/s00190-009-0301-x,W1986136425,S. M. Klosko,2009,18,mississippi,GRACE,2003-07,2005-07,25,llm,False,,explicit-months,high,We reduced the GRACE data over the period of July 2003 through July 2005,True,6,2003-07,2005-07,,deepseek-chat,,
322,10.1029/2008wr007333,W2132012867,Marc Leblanc,2009,381,murray,GRACE,2002-08,2008-04,69,llm,False,,explicit-months,high,We used GRACE observations to estimate variations in TWS over the Murray-Darling Basin from 2002.6 to 2008.4,True,3,2002-08,2008-04,,deepseek-chat,,"The paper states the GRACE data period as 2002.6 to 2008.4, which corresponds to August 2002 to April 2008."
323,10.1016/j.rse.2017.10.029,W2767496663,Maike Schumacher,2017,145,murray,GRACE,2003-01,2010-12,96,llm,False,,explicit-years,high,"A novel calibration and data assimilation (C/DA) framework (Schumacher et al., 2016) is applied here to integrate terrestrial water storage changes (TWSC) observed by GRACE satellites into WGHM within the Murray-Darling Basin (MDB) during 2003-2010.",False,,2003-01,2010-12,,deepseek-chat,,"The paper states the GRACE data period as 2003-2010 in the conclusions, which matches the analysis period used throughout."
326,10.1080/08120099.2010.512645,W2115234023,Daniel Rieser,2010,61,murray,GRACE,2003-01,2006-12,48,llm,False,,explicit-months,high,the four year period considered (January 2003 to December 2006),True,2,2003-01,2006-12,,deepseek-chat,,The paper explicitly states the GRACE data period as January 2003 to December 2006.
328,10.1080/08120091003619241,W2122154990,Nicholas Brown,2010,17,murray,GRACE,2002-08,2008-01,66,llm,False,,explicit-months,high,over the period 2002.6 to 2008.1,True,3,2002-08,2008-01,,deepseek-chat,,"The paper states the period as decimal years 2002.6 to 2008.1, which correspond to August 2002 and January 2008."
329,,W3014327826,Maike Schumacher,2016,15,murray,GRACE,2003-01,2009-12,84,curated,False,,not-stated,high,,False,,,,Schumacher 2016 (audit: Murray-Darling assimilation Jan 2003-Dec 2009).,deepseek-chat,,The paper does not specify the temporal span of GRACE data used in its analysis.
330,10.3390/w9090614,W2753539080,Hong Shen,2017,11,murray,GRACE,2003-08,2010-07,84,llm,False,,inferred,medium,GRACE ET starts from August 2003,True,11,2003-08,2010-07,,deepseek-chat,,The paper states GRACE ET starts from August 2003 but does not explicitly state the end month; the end is inferred from the study period 2003-2010 and figures showing data through July 2010.
336,,W2114242633,Kevin Fleming,2010,1,murray,GRACE,2002-04,2010-12,105,fallback,True,Fleming et al. 2010 (audit: no analysis window stated in the paper).,not-stated,high,,False,,,,"fallback: 2002-04 -> Dec(pub year), capped at mission end",deepseek-chat,,The paper does not specify the GRACE data period used for the terrestrial water storage analysis.
337,10.18419/opus-3838,W1547472719,Stefanie Schmid,2010,0,murray,GRACE,2003-05,2009-04,72,llm,False,,explicit-months,high,the spherical harmonic coefficients from May 2003 until April 2009 (6 years) are used,True,33,2003-05,2009-04,,deepseek-chat,,The paper explicitly states the GRACE data period as May 2003 to April 2009.
339,,W2211681890,Marc Leblanc,2008,0,murray,GRACE,2002-08,2007-07,60,llm,False,,explicit-months,high,GRACE geoid data were used to monitor and analyse the severe multi-year drought of Murray-Darling river basin in Australia for the recent period (08/2002-07/2007).,True,1,2002-08,2007-07,,deepseek-chat,,
341,10.1038/s41598-025-01938-8,W4410760898,Maike Schumacher,2025,3,murray-darling,GRACE+GRACE-FO,2003-01,2021-07,223,llm,False,,explicit-months,high,monthly satellite-based water storage changes between 01/2003 and 07/2021,True,6,2003-01,2021-07,,deepseek-chat,,The paper states the GRACE data period explicitly in the Methods section.
