paper_id,region_label,first_author,year,doi,claim_sign,footprint_polygons,stated_study_area,footprint_note
96,High Plains,Di Long,2013,10.1002/grl.50655,depleting,Central High Plains (High Plains); South-central High Plains (High Plains); Southern High Plains (High Plains),Texas statewide water-storage depletion during the 2011 drought.,"PDF p. 1 and study maps. Only Texas-overlapping High Plains units are listed, not Northern High Plains. They cover a small part of the state and cross state borders, so a Texas-clipped/full-state calculation is required. The 62.3 km3 claim is a 2011 drought TWS loss, dominated by soil moisture, not a 2003-2012 groundwater trend."
97,High Plains,Laurent Longuevergne,2010,10.1029/2009wr008564,no-sign,Central High Plains (High Plains); Great Bend Prairie (High Plains); North-central High Plains (High Plains); Northern High Plains (High Plains); South-central High Plains (High Plains); Southern High Plains (High Plains),"The full High Plains aquifer, with processing tests on northern and central/southern subdivisions.","PDF p. 1 and study-area figure. Retain all six supplied High Plains units, including Tier 2, rather than the worst Tier-1 polygon. The paper evaluates processing and leakage at different spatial scales, not a directional whole-window storage claim. No-sign, excluded from risk."
100,High Plains,Gil Strassberg,2007,10.1029/2007gl030139,no-sign,Central High Plains (High Plains); Great Bend Prairie (High Plains); North-central High Plains (High Plains); Northern High Plains (High Plains); South-central High Plains (High Plains); Southern High Plains (High Plains),"The entire approximately 450,000 km2 High Plains aquifer in the central United States.","PDF p. 1, abstract. Whole-aquifer seasonal TWS/GWS validation. All six supplied units belong in the footprint, not just the three Tier-1 units. No-sign: correlation with wells is not a depletion verdict."
101,High Plains,Gil Strassberg,2009,10.1029/2008wr006892,mixed,Central High Plains (High Plains); Great Bend Prairie (High Plains); North-central High Plains (High Plains); Northern High Plains (High Plains); South-central High Plains (High Plains); Southern High Plains (High Plains),"The entire High Plains aquifer, approximately 450,000 km2, with in-situ groundwater and soil-moisture comparisons.","PDF p. 1, abstract. Whole-aquifer footprint. The stored mixed claim describes different soil-moisture products giving opposite GWS changes in 2005-2006; it is not a spatially mixed 2003-2006 trend. Retain all six units for coverage, but exclude this mixed record from directional risk."
107,High Plains,Alexander Y. Sun,2010,10.1029/2010gl043231,no-sign,"",Interconnected Edwards-Trinity Plateau and Pecos Valley aquifers in central/west-central Texas.,"PDF p. 1, abstract and introduction. Neither target aquifer appears on the polygons sheet. No polygon assigned: outside the supplied cohort, not High Plains. Exclude from matched risk and explain the geographic exclusion in Methods. Existing no-sign label retained."
108,High Plains,Md. Mafuzur Rahaman,2019,10.3390/environments6060063,mixed,Northern High Plains (High Plains),"Northern High Plains aquifer, with random-forest downscaling of groundwater anomalies.","PDF p. 1, abstract. Northern subdivision only; no Central or Southern High Plains assignment. Downscaled GWS anomalies show changing signs over time, not a single window verdict. Mixed label retained and excluded from directional risk."
114,High Plains,Hansheng Wang,2021,10.1016/j.geog.2021.10.003,depleting,Central High Plains (High Plains); Great Bend Prairie (High Plains); North-central High Plains (High Plains); South-central High Plains (High Plains); Southern High Plains (High Plains),North America; the relevant declining feature is the Texas-centered groundwater anomaly extending into adjacent southwestern/central US states.,"PDF pp. 1, 5, 7, Fig. 3. These are partial-overlap proxies for the Texas-centered anomaly, not its contour or the affected state masks. Do not attach the Texas decline to the whole Northern High Plains. Other continental regions recover. ITSG-Grace2018, 220-km smoothing and a mascon-fitting inversion are not reproduced by treating unrecognized methods as unconstrained."
121,High Plains,Yongjun Zhang,2019,10.1111/1752-1688.12798,depleting,Central High Plains (High Plains); Great Bend Prairie (High Plains); North-central High Plains (High Plains); Northern High Plains (High Plains); South-central High Plains (High Plains); Southern High Plains (High Plains),"The whole Ogallala/High Plains aquifer region, analyzed separately as northern and southern OAR.","PDF pp. 1-3, study map and methods. All six supplied units are relevant. Preserve the paper's northern/southern grouping when combining polygons. The stored claim is a September 2012 TWS drought deficit, not a 2003-2015 monotonic groundwater decline; test the drought anomaly, not just a window slope."
131,IGP,Matthew Rodell,2009,10.1038/nature08238,depleting,Trans Gangetic Plain (Indo-Gangetic Plain),"Northwestern India: the states of Rajasthan, Punjab and Haryana, including Delhi.","PDF pp. 1-2, Figs. 1-2. Trans Gangetic is the relevant cohort overlap, but omits most of Rajasthan and is not the three-state averaging mask. Do not assign Middle or Upper Gangetic merely because the record is tagged IGP. GWS claim for August 2002-October 2008; an exact test needs the full three-state footprint."
133,IGP,V. M. Tiwari,2009,10.1029/2009gl039401,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain); Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Westside Middle Indus Plain (Indus Basin),"Broad northern-India/transboundary mass-loss belt, partitioned into four primary non-glaciated regions spanning Pakistan, India, Nepal and Bangladesh.","PDF pp. 2-3, Fig. 1. Listed IGP and upper/middle Indus units are component overlaps, not the four inversion regions or their full union. The 54 km3/yr total is regional, not a claim for each unit; exclude downstream Lower Indus/Sindh as a substitute. Mountain/Indus boundaries still require source-mask clipping. Aggregate consistently, not by worst polygon."
134,IGP,Petra Döll,2014,10.1002/2014wr015595,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain),"Global groundwater-depletion assessment, with northwestern India, the broader Tiwari region and Bangladesh among the regional comparisons.","PDF pp. 1, 10, Table 1. Listed polygons represent only the IGP component of a global paper. The stored 113 km3/yr is GLOBAL modeled GWD during 2000-2009, not a regional GRACE claim for 2003-2009. Do not score that quote until a regional claim/window is specified. DOI duplicate of 2; avoid counting the global estimate twice."
137,IGP,Di Long,2016,10.1038/srep24398,depleting,Trans Gangetic Plain (Indo-Gangetic Plain),"Northwestern India three-state region: Punjab, Haryana with Delhi, and Rajasthan, about 438,296 km2.","PDF p. 3, Fig. 1 and Results. Same three-state footprint as Rodell, not the whole IGP. Trans Gangetic is only partial coverage and omits most Rajasthan; no Middle Gangetic assignment. Stored 3.1 cm/yr GWS result refers specifically to January 2005-December 2010. Forward modeling/leakage restoration must also be matched."
138,IGP,Jianli Chen,2014,10.1016/j.gloplacha.2014.02.007,depleting,Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain); Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Eastside Middle Indus Plain (Indus Basin),"Northwest India and neighboring northeast Pakistan, delineated by the white contour in Fig. 1, approximately 71-82 E and 25-34 N.","PDF pp. 1, 3-4, Fig. 1. Cross-border footprint, not all IGP and not Lower Indus/Sindh. Listed units intersect the contour; several are only partly covered, so clip before quantitative matching. The 20.4 Gt/yr GWS estimate is for the combined contour, not each polygon. Records 138 and 241 are the same DOI: one publication/claim, not independent evidence."
139,IGP,Mohammad Shamsudduha,2012,10.1029/2011wr010993,depleting,"","Bengal Basin study focused on Bangladesh, approximately 138,000 km2, with 236 monitoring boreholes.","PDF pp. 1-3, Fig. 1. Bangladesh/Bengal delta is east of the supplied Middle Gangetic polygon; none of the three listed IGP units represents this target. No polygon assigned: exclude from matched cohort risk and document the exclusion in Methods. GWS is estimated and validated against boreholes."
144,IGP,Debanjan Sinha,2016,10.1175/jhm-d-16-0047.1,depleting,Upper Gangetic Plain (Indo-Gangetic Plain); Middle Gangetic Plain (Indo-Gangetic Plain),Four Indian homogeneous-rainfall regions; the stored January 2015 peak deficit refers to the central-India climatic region.,"PDF p. 3, Fig. 1. Upper/Middle Gangetic have only partial overlap with the green central-India region, which extends far beyond them. The Trans Gangetic/NW-India region is not the cited deficit footprint. Stored 2158 mm is a drought-deficit metric, not a basinwide groundwater slope. Exact climate-region mask and statistic required."
146,IGP,Tandrila Sarkar,2020,10.1016/j.gsd.2020.100376,depleting,Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain),"Water-stressed Indian states/cities; the stored maximum loss concerns Delhi, northern Uttar Pradesh and parts of Haryana.","PDF pp. 1-2, abstract and study description. Match the quoted northern hotspot, not every city analyzed elsewhere in India. Trans/Upper Gangetic cover the relevant area only approximately; the -7.52 cm/yr maximum is not an average over both full polygons. GWS obtained after subtracting GLDAS components. No Middle Gangetic-wide verdict is implied."
148,IGP,Khandu,2016,10.1002/2015wr018113,depleting,Upper Gangetic Plain (Indo-Gangetic Plain); Middle Gangetic Plain (Indo-Gangetic Plain),"The transboundary Ganges-Brahmaputra-Meghna river system, with Ganges and Brahmaputra-Meghna estimates distinguished.","PDF p. 3, Fig. 1 and section 2. Upper/Middle Gangetic are cohort components of the Ganges footprint; the Brahmaputra-Meghna and mountain parts have no equivalent on this sheet. Do not substitute Indus-drained Trans Gangetic for the Ganges basin. Quoted rates are TWS, not GWS; preserve separate basin estimates and full-basin spatial support."
152,IGP,Beas Barik,2017,10.5194/hess-21-3041-2017,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain),"India nationally, plus northwestern states, the Uttar Pradesh-Bihar middle-Ganga grouping, and Maharashtra-Goa.","PDF p. 4, section 2. All three IGP units overlap the northern subregions, but do not cover the national study or Maharashtra-Goa. The paper's middle-Ganga administrative grouping includes BOTH Upper and Middle Gangetic cohort units. National/three-state totals require matching masks, not the most adverse individual polygon."
153,IGP,Aarti Soni,2015,10.1016/j.gloplacha.2015.09.007,depleting,Upper Gangetic Plain (Indo-Gangetic Plain); Middle Gangetic Plain (Indo-Gangetic Plain),"Four Indian river basins: Ganga, Godavari, Krishna and Mahanadi; the stored groundwater loss is for the Ganga basin.","PDF p. 2, Fig. 1. Upper/Middle Gangetic are components of the Ganga target, not a full basin mask. The three peninsular basins are outside these cohort units. Do not attach their results to IGP, or use Trans Gangetic as a blanket Ganga match. Stored claim is GWS, derived by removing soil-moisture anomalies."
154,IGP,Abhishek Abhishek,2021,10.1016/j.jhydrol.2021.126069,depleting,"","Godavari, Krishna and Mahanadi river basins in peninsular India; the stored strongest loss refers to Krishna.","PDF pp. 2-3, section 2.1 and Fig. 1. None of these peninsular basins is represented on the polygons sheet. No polygon assigned: exclude from cohort risk and state the geographic exclusion in Methods. An IGP label cannot justify a northern-India match. Both TWS and GWS results are reported."
160,IGP,Soumendra N. Bhanja,2020,10.1080/02626667.2020.1716238,depleting,Upper Gangetic Plain (Indo-Gangetic Plain); Middle Gangetic Plain (Indo-Gangetic Plain),Major Indian river basins; the stored loss rates refer to Ganges and Brahmaputra.,"PDF pp. 2-4, Fig. 1 and methods. Upper/Middle Gangetic cover only part of the Ganges basin; no Brahmaputra polygon is supplied. Crucially, the quoted -1.02/-0.40 km3/yr rates are IN-SITU estimates, not the paper's GRACE estimates. Retain the label but do not use this quote as an unambiguous GRACE rate without checking the corresponding satellite result."
164,IGP,Qiujie Chen,2020,10.1029/2019jb018892,depleting,Trans Gangetic Plain (Indo-Gangetic Plain),Global gravity-solution assessment; the stored Fig. 20 claim concerns Northwest India and its Rajasthan subregion.,"PDF pp. 17, 20, section 5.1.2 and Fig. 20. Trans Gangetic is a partial NW-India proxy; Rajasthan is mostly unrepresented. Exact NW-India mask is not delineated in Fig. 20 and needs confirmation before scoring. Do not extend this quotation to all IGP. Tongji regularized SH and ITSG solutions are out of the recipe space; matching footprints does not make these methods unconstrained-compatible."
170,IGP,Ajish P. Saji,2020,10.1029/2018jf004943,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain),"Himalaya and northern India, using Indian/Nepalese GPS networks and GRACE fields over the IGP and sub-Himalaya.","PDF pp. 2-5, Figs. 1-2. All three IGP units are relevant lowland components, but much of the Himalayan/GPS domain lies outside them. GRACE observable is hydrological loading/TWS and surface deformation; the stored claim attributes subsidence to groundwater use rather than stating a matched polygon-average GWS slope."
177,IGP,Hua Xie,2020,10.1016/j.ejrh.2020.100681,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain),"India and adjacent drainage areas; the stored Northwest India model result concerns Punjab, Haryana, Delhi, Himachal Pradesh, Uttar Pradesh, Rajasthan, and Jammu and Kashmir.","PDF pp. 8-10, Fig. 4 and region-I definition. Trans/Upper Gangetic and the Uttar-Pradesh portion of Middle Gangetic are relevant, not all of Bihar. The ~0.9 million km2 regional mask is larger than these units. The stored 23.9 km3/yr is a SWAT groundwater estimate calibrated using GRACE TWS, not a direct per-polygon GRACE GWS rate."
181,IGP,V. M. Tiwari,2014,10.1016/j.pepi.2014.03.002,no-sign,"","Southern Indian shield, including GPS/absolute-gravity comparisons at sites in south India.","PDF p. 1, abstract and introduction. Southern India is outside the seven-region polygon catalogue. No polygon assigned: exclude from matched risk and document the geographic exclusion. Seasonal hydrological loading/deformation study, no-sign; do not assign any IGP polygon."
185,IGP,Param K. Gautam,2017,10.1007/s40899-017-0109-4,depleting,Upper Gangetic Plain (Indo-Gangetic Plain),"Meerut and Lucknow districts in Uttar Pradesh, with broader discussion of groundwater conditions across the state.","PDF p. 1, abstract. Both quoted district estimates fall within the Upper Gangetic area, not one in each of Upper and Middle Gangetic. The districts are much smaller than this polygon. Their separate GWS slopes must not be compared as if either were the full-polygon average."
186,IGP,Natthachet Tangdamrongsub,2011,10.1007/s11069-011-9793-9,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain); Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Eastside Lower Indus Valley (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Westside Middle Indus Plain (Indus Basin),"Central and South Asia within 15-50 N and 65-100 E, including mountain regions and selected climate stations.","PDF pp. 2, 4, study definition and Fig. 1. All listed IGP and Indus units lie within this very large analysis box; none is the full study footprint. The claim concerns total water mass, including snow/ice and climate-station analyses, not separate groundwater depletion in all ten units. No worst-polygon attribution of the regional claim."
207,IGP,Vasaw Tripathi,2022,10.5194/hess-26-4515-2022,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Eastside Lower Indus Valley (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Westside Middle Indus Plain (Indus Basin),"The entire transboundary Indus River basin in Pakistan, India, Afghanistan and China, approximately 1.14 million km2.","PDF p. 3, Fig. 1 and section 2.1. All seven catalogue Indus units, including four doabs and Westside Middle Indus, are relevant components. Their union omits mountain headwaters and other parts of the full drainage basin, including Indian coverage. The -7.6 Gt/yr claim is basinwide TWS, not GWS or a worst-sub-basin verdict. DOI aliases 207/267 must not be counted twice."
233,IGP,Yahya Sattar,2021,10.1109/icassp39728.2021.9413591,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Eastside Lower Indus Valley (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Westside Middle Indus Plain (Indus Basin),"Whole Indus River basin, approximated by 44 colatitude-longitude blocks for spatial localization.","PDF pp. 1, 3, Fig. 1. All seven catalogue Indus units are basin components; the paper's 44-block mask also contains areas absent from the cohort. GWS is derived using GLDAS snow/soil removal. Match the combined source mask, not the worst polygon. Same DOI under IDs 233 and 279; the IGP regional tag is misleading and the claim is not independent twice."
241,Indus,Jianli Chen,2014,10.1016/j.gloplacha.2014.02.007,depleting,Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain); Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Eastside Middle Indus Plain (Indus Basin),"Northwest India and neighboring northeast Pakistan, delineated by the white contour in Fig. 1, approximately 71-82 E and 25-34 N.","PDF pp. 1, 3-4, Fig. 1. Cross-border footprint, not all IGP and not Lower Indus/Sindh. Listed units intersect the contour; several are only partly covered, so clip before quantitative matching. The 20.4 Gt/yr GWS estimate is for the combined contour, not each polygon. Records 138 and 241 are the same DOI: one publication/claim, not independent evidence."
242,Indus,Longwei Xiang,2016,10.1016/j.epsl.2016.06.002,mixed,"","Tibetan Plateau and adjoining basins, with an Upper Indus mountain-basin recovery estimate and depletion in some surrounding lowlands.","PDF p. 1, abstract. The named Upper Indus recovery concerns the high-mountain catchment, not the downstream Punjab/Sindh aquifer polygons. The mixed quote combines distinct basins and signs; no single directional footprint is assigned. Excluded from directional risk. Any separate lowland claim would need its own explicitly identified mask and sign."
243,Indus,D. K. Panda,2015,10.1002/2015wr017797,depleting,Middle Gangetic Plain (Indo-Gangetic Plain); Trans Gangetic Plain (Indo-Gangetic Plain); Upper Gangetic Plain (Indo-Gangetic Plain),"India, with explicit groundwater estimates for the Ganges basin and Punjab STATE in India.","PDF pp. 1, 4, abstract and validation areas. Ganges maps to Upper/Middle Gangetic; Indian Punjab maps to the Trans Gangetic component. It is not Punjab province in Pakistan and should not be assigned to Lower Indus/Sindh. Country/state/basin masks differ from these polygons. Keep the Ganges and Punjab rates separate; do not take the worst across them."
251,Indus,Naveed Iqbal,2016,10.1109/jstars.2016.2574378,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin),"Upper Indus Plain in Pakistan: Thal, Chaj, Rechna and Bari doabs in Punjab.","PDF pp. 1-2, Fig. 1 and section II. Direct named-unit match to all four doabs; no Sindh/Lower Indus assignment. The 13.5 mm/yr claim is for the combined UIP footprint, with stronger depletion in Bari/Rechna. Check national-boundary differences in the cohort doabs and area-weight their source-overlapping portions, rather than selecting the worst doab."
254,Indus,Naveed Iqbal,2017,10.1007/s10661-017-5846-1,depleting,Bari Doab (Indus Basin); Rechna Doab (Indus Basin),"Four Punjab doabs are studied: Thal, Chaj, Rechna and Bari; the stored depletion rates are specifically for Bari and Rechna.","PDF p. 3, study-area section, and stored claim. Risk footprint restricted to the two doabs actually named in the depletion quotation (0.38 and 0.21 km3/yr respectively). Thal/Chaj are in the broader study but must not inherit those rates. Keep the two estimates separate, check country-boundary differences, and never substitute Lower Indus/Sindh."
259,Indus,Dostdar Hussain,2020,10.1109/access.2020.2984794,depleting,"","Upper Indus high-mountain catchment upstream of Tarbela, across the Hindu Kush, Karakoram and Himalaya, about 437,000 km2.","PDF pp. 1-3, Fig. 1 and section II. None of the supplied lowland Indus aquifer units fits this mountain catchment. No polygon assigned: exclude from matched cohort risk and state this in Methods. The negative rates are TWS dominated by snow; the same abstract reports near-stable/slightly increasing GWS, not groundwater depletion."
260,Indus,Gulraiz Akhter,2021,10.3390/su13179686,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin),"Upper Indus Plain aquifer in Pakistan: the four Punjab doabs Thal, Chaj, Rechna and Bari, about 107,704 km2.","PDF p. 3, section 2 and Fig. 1. Match all four named doabs, not Lower Indus/Sindh. Stored claim refers to GWS depletion in all four, but results are seasonally resolved and the registry window is only January-July 2016. Retain the short seasonal window and assess each source footprint; do not infer a long-term annual trend."
267,Indus,Vasaw Tripathi,2022,10.5194/hess-26-4515-2022,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Eastside Lower Indus Valley (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Westside Middle Indus Plain (Indus Basin),"The entire transboundary Indus River basin in Pakistan, India, Afghanistan and China, approximately 1.14 million km2.","PDF p. 3, Fig. 1 and section 2.1. All seven catalogue Indus units, including four doabs and Westside Middle Indus, are relevant components. Their union omits mountain headwaters and other parts of the full drainage basin, including Indian coverage. The -7.6 Gt/yr claim is basinwide TWS, not GWS or a worst-sub-basin verdict. DOI aliases 207/267 must not be counted twice."
269,Indus,Lilu Cui,2023,10.3390/rs15184469,depleting,Bari Doab (Indus Basin); Chaj Doab (Indus Basin); Eastside Lower Indus Valley (Indus Basin); Eastside Middle Indus Plain (Indus Basin); Rechna Doab (Indus Basin); Thal Doab (Indus Basin); Westside Middle Indus Plain (Indus Basin),"Whole Indus River basin, approximately 24-37 N and 66-82 E, from the Tibetan headwaters through Punjab to the Arabian Sea.","PDF p. 3, section 2 and Fig. 1. Retain all seven Indus components. The cohort omits much of the full catchment and is not its exact mask. The quoted decline is total water-storage change from a combined GRACE/GRACE-FO/Swarm analysis, not groundwater alone or a GRACE-only recipe. Combine source-area coverage, never choose the worst sub-basin."
