paper_id,region,in_cohort,oa_id,file,doi,title,first_author,year,venue,citations,is_seed,grace_role,mission,paper_category,centre,release,filter,truncation,gia_model,c20,c30,geocenter,c20_c30,depletion_claim,regions_studied,n_quotes,n_quotes_verified,model,extraction_error,fulltext_reextract
11,arabian,True,W4285092524,,10.3389/feart.2022.937402,Integrated Geophysical Assessment of Groundwater Potential in Southwestern Saudi Arabia,Ahmed Mohamed,2022,Frontiers in Earth Science,39,no,uses-mascon-product,GRACE+GRACE-FO,mascon,"CSR-M, JPL-M",RL06,mascon,,,,,,unclear/unclear,−0.34 ± 0.01 mm/yr,southwestern Saudi Arabia,3,2,deepseek-chat (full-text 2026 round2),,yes
12,arabian,True,W4361293028,,10.3390/rs15071808,"Integrated Geophysical Approach of Groundwater Potential in Wadi Ranyah, Saudi Arabia, Using Gravity, Electrical Resistivity, and Remote-Sensing Techniques",Ahmed Mohamed,2023,Remote Sensing,35,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,,,,,,unclear/unclear,−3.85 ± 0.15 mm/yr,"Wadi Ranyah, Saudi Arabia",3,2,deepseek-chat (full-text 2026 round2),,yes
13,arabian,True,W2979932999,,10.1007/s13369-019-04069-1,Groundwater Quality Patterns and Spatiotemporal Change in Depletion in the Regions of the Arabian Shield and Arabian Shelf,Othman Fallatah,2019,Arabian Journal for Science and Engineering,28,no,uses-mascon-product,GRACE,mascon,CSR,RL05,mascon,,,,,,unclear/unclear,−2.11±0.13 km3/yr,Arabian Shield; Arabian Shelf; Saq aquifer,3,3,deepseek-chat (full-text 2026 round2),,yes
14,arabian,True,W4309204395,,10.5194/hess-26-5757-2022,"Influence of intensive agriculture and geological heterogeneity on the recharge of an arid aquifer system (Saq–Ram, Arabian Peninsula) inferred from GRACE data",Pierre Séraphin,2022,Hydrology and earth system sciences,21,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,RL06,mascon,,ICE6G-D,,,,unclear/unclear,,Saq–Ram Aquifer System,4,2,deepseek-chat (full-text 2026 round2),,yes
15,arabian,True,W4399756140,,10.1007/s11069-024-06733-8,Land subsidence and groundwater storage change assessment using InSAR and GRACE in the arid environment of Saudi Arabia,Esubalew Adem Yibrie,2024,Natural Hazards,16,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06.2,mascon,,,,,,unclear/unclear,groundwater storage depletes at ~11.2 mm per year,"Najran region, Saudi Arabia",3,3,deepseek-chat (full-text 2026 round2),,yes
16,arabian,True,W4389263987,,10.1016/j.aej.2023.11.060,Geophysical monitoring of the groundwater resources in the Southern Arabian Peninsula using satellite gravity data,Ahmed Mohamed,2023,Alexandria Engineering Journal,13,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,,mascon,,,,,,unclear/unclear,groundwater depletion of -0.21 ± 0.011 cm yr−1 for the whole study area,Southern Arabian Peninsula; Rub El Khali; Yemen; Oman; United Arab Emirates,2,2,deepseek-chat (full-text 2026 round2),,yes
17,arabian,True,W4388942654,,10.3389/feart.2023.1225992,"Investigation of groundwater potential using gravity data in Wadi Fatimah and its surroundings, Western Saudi Arabia",Fahad Alshehri,2023,Frontiers in Earth Science,9,no,uses-mascon-product,GRACE,mascon,multiple,RL06M,mascon,unclear,unclear,unclear,unclear,unclear,unclear,−0.18 ± 0.022 cm/yr in Wadi Fatimah,Wadi Fatimah; Makkah province,3,3,deepseek-chat,,
18,arabian,True,W4394815722,,10.3390/rs16081381,Assessing Groundwater Sustainability in the Arabian Peninsula and Its Impact on Gravity Fields through Gravity Recovery and Climate Experiment Measurements,Hussein A. Mohasseb,2024,Remote Sensing,9,no,processes-L2-SHM,GRACE+GRACE-FO,own-SHM,CSR,RL06,Swenson-Wahr destriping,,,replaced with SLR,replaced with SLR,Swenson 2008,replaced with SLR/replaced with SLR,−4.89 ± 0.86 mm/year (−14.82 km³/year),Arabian Peninsula,6,5,deepseek-chat (full-text 2026),,yes
19,arabian,True,W102949395,,,Earth Mass Change Tracking Using GRACE Satellite Gravity Data,Gholamreza Joodaki,2014,Duo Research Archive (University of Oslo),7,no,processes-L2-SHM,GRACE,own-SHM,"CSR, GFZ, JPL",RL04,DDK,60,multiple: none (papers A-C); Peltier 2009/Cazenave 2009 mean correction (paper E); A et al. 2013 (paper F),replaced,unclear,multiple: ignored (papers A-C); Chen et al. 1999 (paper E); Swenson et al. 2008 (paper F),replaced/unclear,Iran with a rate of 25±6 Gt/yr has the most groundwater loss rate,Greenland; Nordic Seas; Middle East; Iran; Iraq; Syria; eastern Turkey; northern Saudi Arabia; southern Saudi Arabia; region immediately west of Caspian Sea,4,3,deepseek-chat,,
20,arabian,True,W4390749128,,10.3390/w16020246,Advancing SDGs: Predicting Future Shifts in Saudi Arabia’s Terrestrial Water Storage Using Multi-Step-Ahead Machine Learning Based on GRACE Data,Mohamed A. Yassin,2024,Water,7,no,uses-mascon-product,GRACE,mascon,CSR,,mascon,,,,,,unclear/unclear,,Saudi Arabia; Arabian Basin,2,2,deepseek-chat (full-text 2026 round2),,yes
21,arabian,True,W4411541036,,10.1016/j.ejrh.2025.102552,Multi-model ensemble machine learning-based downscaling and projection of GRACE data reveals groundwater decline in Saudi Arabia throughout the 21st century,Arfan Arshad,2025,Journal of Hydrology Regional Studies,7,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06.1Mv03,mascon,,,,,,unclear/unclear,groundwater decline in Saudi Arabia throughout the 21st century,Saudi Arabia; Al Jumum; Makkah; Jeddah; Bahrah,3,3,deepseek-chat (full-text 2026 round2),,yes
22,arabian,True,W4385954768,,10.3389/feart.2023.1227691,"Application of gravity and remote sensing data to groundwater potential in Wadi Ar-Ramah, Saudi Arabia",Ahmed Mohamed,2023,Frontiers in Earth Science,6,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,unclear,mascon,unclear,unclear,unclear,unclear,unclear,unclear,groundwater declining at a rate of -1.212 ± 0.012 cm/year,Wadi Ar-Ramah,2,2,deepseek-chat,,
23,arabian,True,W4393218656,,10.1080/16583655.2024.2331991,Monitoring the response of Saudi Arabia's largest fossil aquifer system to climate variability,Abdullah Othman,2024,Journal of Taibah University for Science,6,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,,,,,,unclear/unclear,"decline of -6.3 mm in Hail, -5.22 mm in Al-Jouf, -4.5 mm in Al-Hudud Ash-Shamaliyah during dry period; recovery of 1 to 6.8 mm during wet period",Hail province; Al-Jouf province; Al-Hudud Ash-Shamaliyah province; Mega Aquifer System (MAS) in Saudi Arabia,3,3,deepseek-chat (full-text 2026 round2),,yes
24,arabian,True,W4392946611,,10.1016/j.jksus.2024.103172,"Application of gravity and remote sensing data to groundwater storage variation in Wadi Al Dawasir, Saudi Arabia",Ahmed Mohamed,2024,Journal of King Saud University - Science,5,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,RL06,mascon,,,,,,unclear/unclear,−0.48 ± 0.02 cm yr−1,Wadi Al Dawasir; Saudi Arabia,3,2,deepseek-chat (full-text 2026 round2),,yes
25,arabian,True,W4400516568,,10.1016/j.gsd.2024.101270,Satellite gravimetry observations on the state of groundwater level variability in the Arabian Peninsula Region and the associated socio-economic sustainability challenges,Muhammad Usman,2024,Groundwater for Sustainable Development,5,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06 v02,mascon,,,,,,unclear/unclear,Al Jouf decline rate of -1.69 cm/year (43% faster than previous estimates),Arabian Peninsula Region; Al Jouf; Riyadh; Makkah; Madina; Damam; Kuwait; Dubai; Al Ain; Musqat; Sanaa,3,1,deepseek-chat (full-text 2026 round2),,yes
27,arabian,True,W4402264111,,10.1109/igarss53475.2024.10642338,"Assessment of the Impact of Date Production on Water Resources Using Remote Sensing Techniques, a Case Study for Madinah, Saudi Arabia",Abdulrahman Badaoud,2024,,3,no,uses-mascon-product,GRACE,mascon,"CSR, JPL",,mascon,,,,,,unclear/unclear,average annual decline in GWS is -6.7 mm/year,Madinah,2,2,deepseek-chat (full-text 2026 round2),,yes
28,arabian,True,W2790020117,W2790020117,,"An lntegrated Approach (Remote Sensing, Hydrogeology, Geotechnical, and Geoinformatics) to Assess and Monitor Fossil Aquifers and Associated Land Deformation Over the Arabian Peninsula",A. Othman,2017,ScholarWorks - WMU (Western Michigan University),2,no,uses-mascon-product,GRACE,mascon,CSR,RL05,mascon,,,,,,unclear/unclear,TWS depletion of -4.6 ± 0.5 km³/yr over LMAS and -1.0 ± 0.1 km³/yr over WASB,Lower Mega Aquifer System (LMAS); Wadi As-Sirhan Basin (WASB),3,3,deepseek-chat (full-text 2026 round2),,yes
29,arabian,True,W4412420454,,10.1029/2024wr039837,Refined GRACE/GFO‐Derived Terrestrial Water Storage Anomaly in Middle East Recovered by ICA‐Based Forward Modeling Approach,Yuhao Xiong,2025,Water Resources Research,1,no,processes-L2-SHM,GRACE+GRACE-FO,own-SHM,CSR,RL06.1,DDK3,60,Peltier_ICE6G_D,replaced (SLR),replaced (SLR),Landerer 2019,replaced (SLR)/replaced (SLR),"TWSA decline rates for Saudi Arabia, Iraq, and Iran are 11.48 ± 0.32, 3.56 ± 0.44, and 7.75 ± 0.45 km3/yr, respectively",Middle East; Caspian Sea; Red Sea; Persian Gulf; Saudi Arabia; Iraq; Iran; Greenland; Victoria Lake,8,6,deepseek-chat (full-text 2026),,yes
30,arabian,True,W3102984332,,,Monitoring lithospheric motions by Satellite geodesy,Nureldin A. A. Gido,2020,KTH Publication Database DiVA (KTH Royal Institute of Technology),0,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,DDK2,96,ICE-6G (VM5a),replaced,unstated,restored (TN-13b; Swenson et al. 2008),replaced/unclear,GWS changes due to water and oil depletion ranged from -18.5 ± 6.3 to -6.2 ± 1.3 mm/year,Fennoscandia; northern high-latitude regions; Sudan; East Africa; Egypt; Congo; Saudi Arabia; Gävle city,6,6,deepseek-chat (full-text 2026 round2),,yes
31,arabian,True,W7117972369,,10.1080/10106049.2025.2610859,Evaluating the impact of irrigation on groundwater resources using remote sensing: a case study for Saudi Arabia,Abdulrahman Badaoud,2026,Geocarto International,0,no,uses-mascon-product,GRACE+GRACE-FO,mascon,"CSR, JPL",,mascon,,,,,,unclear/unclear,"GWS declines of –7.2 mm yr–1 (Madinah), –12.6 mm yr–1 (Al Qassim), –2.3 mm yr–1 (Hofuf)",Madinah; Al Qassim; Hofuf,2,2,deepseek-chat (full-text 2026 round2),,yes
32,arabian,True,W7133344962,,10.1016/j.gsd.2026.101608,Review of GRACE remote sensing applications for groundwater monitoring in water-scarce regions,Ritshidze Nenweli,2026,Groundwater for Sustainable Development,0,no,review-or-perspective,GRACE+GRACE-FO,review,,,,,,,,,unclear/unclear,,global; Southern Africa; South Africa; Asia; Africa; North America; Saudi Arabia; Iran; Mekong Delta; Texas; Jinsha River Basin; Amazon River Basin; Nasia Basin; Lullemmeden Basin; Senegal Basin,0,0,deepseek-chat (full-text 2026 round2),,yes
33,arabian,True,W7151544631,,10.2139/ssrn.6533878,"Analysis of the mass variation caused by Terrestrial Water Storage changes using gravity data for Wadi Sahba, Eastern Saudi Arabia",Nadhir Al-Ansari,2026,SSRN Electronic Journal,0,no,uses-mascon-product,GRACE+GRACE-FO,mascon,"CSR, JPL, GSFC",RL06,mascon,,,,,,unclear/unclear,ΔGWS declining at -0.80 ± 0.014 cm/yr,Wadi Sahba; Eastern Saudi Arabia,3,0,deepseek-chat (full-text 2026 round2),,yes
36,canning,True,W4413049227,,10.1016/j.jhydrol.2025.134035,A simplified drought indicator based on high-resolution GRACE terrestrial water storage anomalies,Ikechukwu Kalu,2025,Journal of Hydrology,5,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,R6v3,mascon,,,replaced,replaced,applied,replaced/replaced,the Canning Basin is facing long-term drought and reveals that the region risks permanent shifts in ecosystem composition and land degradation associated with aquifer depletion,Canning Basin; Carpentaria Basin; Central Eromanga Basin; CLA; Murray-Darling Basin; Perth Basin; Western Eromanga Basin,6,2,deepseek-chat (full-text 2026 round2),,yes
37,central_valley,False,W2117934747,01,10.1073/pnas.1200311109,Groundwater depletion and sustainability of irrigation in the US High Plains and Central Valley,Bridget R. Scanlon,2012,Proceedings of the National Academy of Sciences,1357,yes,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,groundwater depletion of ~330 km3 in the High Plains and ~80 km3 in the Central Valley (1962-2003),High Plains aquifer; Central Valley aquifer,0,0,deepseek-chat,,
38,central_valley,False,W2165184011,02,10.1029/2010gl046442,Satellites measure recent rates of groundwater depletion in California's Central Valley,J. S. Famiglietti,2011,Geophysical Research Letters,959,yes,processes-L2-SHM,GRACE,own-SHM,CSR,RL04,Swenson-Wahr destriping,60,unclear,unclear,unclear,unclear,unclear,Central Valley lost 20.4 ± 3.9 mm yr−1 of groundwater,California's Central Valley; Sacramento River Basin; San Joaquin River Basin,4,2,deepseek-chat,,
39,central_valley,False,W1484814760,21,10.1029/2011wr011312,"Ground referencing GRACE satellite estimates of groundwater storage changes in the California Central Valley, USA",Bridget R. Scanlon,2012,Water Resources Research,444,no,processes-L2-SHM,GRACE,own-SHM,multiple,multiple: CSR RL04; GRGS RL02,G300 and destripe,60,Paulson et al. (2007) / ICE5G PGR,unclear,unclear,unclear,unclear,groundwater depletion totaled 31.0 ± 3.0 km3,California Central Valley; Sacramento River Basin; San Joaquin River Basin,5,2,deepseek-chat,,
40,central_valley,False,W2731938692,36,10.1016/j.rse.2017.06.026,GRACE Groundwater Drought Index: Evaluation of California Central Valley groundwater drought,Brian Thomas,2017,Remote Sensing of Environment,331,no,uses-mascon-product,GRACE,mascon,JPL,RL05.1M,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,California Central Valley,3,3,deepseek-chat,,
41,central_valley,False,W1857304858,57,10.1002/2014gl059570,Seasonal variation in total water storage in California inferred from GPS observations of vertical land motion,Donald F. Argus,2014,Geophysical Research Letters,320,no,uses-published-TWS,GRACE,downstream-use,CSR,RL05,G200,unclear,unclear,replaced (with SLR),unclear,degree-1 / geocentre correction applied (Swenson 2008),replaced (with SLR)/unclear,,California,5,4,deepseek-chat,,
42,central_valley,False,W2803686615,22,10.3390/rs10060829,Monitoring Groundwater Storage Changes Using the Gravity Recovery and Climate Experiment (GRACE) Satellite Mission: A Review,Frédéric Frappart,2018,Remote Sensing,316,no,review-or-perspective,GRACE,review,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Middle East; northwest India aquifer; North China Plain aquifer; Murray-Darling Basin; High Plains aquifer; California Central Valley aquifer; Northwestern Sahara Aquifer System; Nubian Sandstone Aquifer System; Tigris and Euphrates River Basin; Northern India; North China; Hai River; Piedmont Plain; East Central Plain; Canning; Sacramento and San Joaquin River Basins; Colorado River Basin,0,0,deepseek-chat,,
43,central_valley,False,W2786804361,37,10.3390/rs10010143,Downscaling GRACE Remote Sensing Datasets to High-Resolution Groundwater Storage Change Maps of California’s Central Valley,Michelle E. Miro,2018,Remote Sensing,143,no,uses-published-TWS,GRACE,downstream-use,CSR,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,lost 20.3 km3 of groundwater between 2003 and 2010,California's Central Valley; San Joaquin Valley,2,2,deepseek-chat,,
44,central_valley,False,W2605676989,03,10.1002/2017gl073333,How much groundwater did California's Central Valley lose during the 2012–2016 drought?,Mu Xiao,2017,Geophysical Research Letters,132,yes,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G300,unclear,unclear,replaced,unclear,Swenson 2008,replaced/unclear,40.0 km3 of groundwater lost during 2012-2016 drought,Central Valley; Sacramento-San Joaquin-Tulare River basins,5,4,deepseek-chat,,
45,central_valley,False,W2916366897,19,10.1029/2018jb016083,Groundwater Loss and Aquifer System Compaction in San Joaquin Valley During 2012–2015 Drought,Chandrakanta Ojha,2019,Journal of Geophysical Research Solid Earth,93,no,uses-mascon-product,GRACE,mascon,JPL,version 2,mascon,unclear,unclear,unclear,unclear,unclear,unclear,average groundwater loss of 6.1 ± 2.3 km3/year for San Joaquin Valley,San Joaquin Valley; Central Valley,3,3,deepseek-chat,,
46,central_valley,False,W3111894231,41,10.1029/2020wr027531,Representing Intercell Lateral Groundwater Flow and Aquifer Pumping in the Community Land Model,Farshid Felfelani,2020,Water Resources Research,79,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,G300,60,unclear,unclear,unclear,unclear,unclear,,conterminous US; High Plains Aquifer; Central Valley Aquifer; Mississippi Alluvial Plain; Snake River Plain; Colorado Plateau; Coastal Lowlands; Piedmont Blue Ridge; Surficial,2,2,deepseek-chat,,
47,central_valley,False,W2979409277,04,10.3390/geosciences9100436,Monitoring Groundwater Change in California’s Central Valley Using Sentinel-1 and GRACE Observations,Zhen Liu,2019,Geosciences,76,no,uses-mascon-product,GRACE,mascon,JPL,RL05M.1 Version 2,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,San Joaquin Valley; Tulare Basin; California's Central Valley,3,3,deepseek-chat,,
48,central_valley,False,W3196280317,23,10.1088/1748-9326/ac16ff,Effects of climate and irrigation on GRACE-based estimates of water storage changes in major US aquifers,Bridget R. Scanlon,2021,Environmental Research Letters,76,no,uses-mascon-product,GRACE,mascon,multiple,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,Marked storage depletion in the semi-arid southwestern Central Valley and south-central High Plains totaled ∼90 km3,Columbia Plateau; Snake River Plain; Central Valley; Sacramento; San Joaquin/Tulare; Upper Colorado; Arizona Alluvial; Northern High Plains; Central and Southern High Plains; Edwards Trinity; Texas Gulf Coast; Mississippi Embayment; Coastal Lowlands; Floridian aquifer; Pennsylvania,3,1,deepseek-chat,,
49,central_valley,False,W2888761865,14,10.1038/s41598-018-31210-1,Projecting groundwater storage changes in California’s Central Valley,Elias Massoud,2018,Scientific Reports,75,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,groundwater depletion will continue,California's Central Valley,0,0,deepseek-chat,,
50,central_valley,False,W4220869317,58,10.1029/2021jb023135,Joint Inversion of GNSS and GRACE for Terrestrial Water Storage Change in California,Grace Carlson,2022,Journal of Geophysical Research Solid Earth,66,no,uses-mascon-product,GRACE,mascon,JPL,RL06M,mascon,unclear,ICE6G-D,unclear,unclear,"Sun 2016, Swenson 2008",unclear,,California; western Nevada,5,4,deepseek-chat,,
51,central_valley,False,W4313379929,42,10.1016/j.scitotenv.2022.161138,"Machine learning based downscaling of GRACE-estimated groundwater in Central Valley, California",Vibhor Agarwal,2022,The Science of The Total Environment,65,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL06,G300,60,A_2013,replaced (e.g. with SLR / TN-14),unclear,unclear,replaced (e.g. with SLR / TN-14)/unclear,groundwater loss is about 30 km3 from 2002 to 2016,"Central Valley, California; San Joaquin Valley; Sacramento Valley",6,5,deepseek-chat,,
52,central_valley,False,W3204140070,15,10.1016/j.scitotenv.2021.150635,Assessing the utility of remote sensing data to accurately estimate changes in groundwater storage,Aakash Ahamed,2021,The Science of The Total Environment,50,no,uses-published-TWS,GRACE,downstream-use,JPL,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,net loss of stored groundwater during the study period,Central Valley; Central Valley Watershed,3,1,deepseek-chat,,
53,central_valley,False,W2467442735,16,10.1038/srep28160,"Time-varying land subsidence detected by radar altimetry: California, Taiwan and north China",Cheinway Hwang,2016,Scientific Reports,49,no,does-not-use-grace,unclear,non-GRACE,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,San Joaquin Valley; central Taiwan; North China Plain,0,0,deepseek-chat,,
54,central_valley,False,W2982770681,43,10.1038/s41598-019-52371-7,Satellite-based monitoring of groundwater depletion in California’s Central Valley,D. W. Vasco,2019,Scientific Reports,48,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2.3 million acre-feet of estimated volume reduction between October 2015 and 2016,California's Central Valley; Tulare Basin,0,0,deepseek-chat,,
55,central_valley,False,W3204018692,12,10.1029/2021wr030352,Post‐Drought Groundwater Storage Recovery in California's Central Valley,Sarfaraz Alam,2021,Water Resources Research,45,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,"Median aquifer storage recovery was 34% and 19% of the overdraft during the 2010–2011 and 2017–2019 post-drought years, respectively.",California's Central Valley,3,0,deepseek-chat,,
56,central_valley,False,W4220744737,26,10.1038/s41598-022-07650-1,"Using Sentinel-1 and GRACE satellite data to monitor the hydrological variations within the Tulare Basin, California",D. W. Vasco,2022,Scientific Reports,38,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,Tulare Basin; Central Valley Aquifer system,3,2,deepseek-chat,,
57,central_valley,False,W4297901210,27,10.1029/2022gl099583,Subsurface Water Flux in California's Central Valley and Its Source Watershed From Space Geodesy,Donald F. Argus,2022,Geophysical Research Letters,33,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06,mascon,unclear,ICE-6G,unclear,unclear,unclear,unclear,Central Valley lost groundwater at 2.2 ± 0.7 km3/yr from 2006 to 2021,California's Central Valley; Sacramento-San Joaquin-Tulare River basin,4,3,deepseek-chat,,
58,central_valley,False,W2945426829,67,10.1029/2019jb017354,"Drought‐Triggered Magmatic Inflation, Crustal Strain, and Seismicity Near the Long Valley Caldera, Central Walker Lane",W. C. Hammond,2019,Journal of Geophysical Research Solid Earth,29,no,uses-published-TWS,GRACE,downstream-use,GSFC,unclear,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,Long Valley Caldera; Sierra Nevada; Central Walker Lane,2,2,deepseek-chat,,
59,central_valley,False,W4400310314,07,10.1016/j.rse.2024.114303,"A novel hybrid GNSS, GRACE, and InSAR joint inversion approach to constrain water loss during a record-setting drought in California",Grace Carlson,2024,Remote Sensing of Environment,27,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06,mascon,unclear,ICE6G-D,replaced,unclear,Swenson 2008 and Sun 2016,replaced/unclear,groundwater volume loss of 20.4+/-2.6 km3,California; Central Valley; Sacramento Valley; San Joaquin Valley; Tulare Basin,6,4,deepseek-chat,,
